Unix Timestamp,Average eye position (pixels),Average pupil dilation
1722787043.516419,"(1680.0, 1050.0)",2.755035400390625
1722787043.5339456,"(1680.0, 1050.0)",2.7631072998046875
1722787043.5507956,"(1680.0, 1050.0)",2.87152099609375
1722787043.56636,"(1680.0, 1050.0)",2.8285903930664062
1722787043.5835683,"(1680.0, 1050.0)",2.7854461669921875
1722787043.6006753,"(1680.0, 1050.0)",2.8773040771484375
1722787043.6171293,"(1680.0, 1050.0)",2.8350982666015625
1722787043.6343565,"(1680.0, 1050.0)",2.793243408203125
1722787043.6510646,"(1680.0, 1050.0)",2.8806610107421875
1722787043.666629,"(1680.0, 1050.0)",2.8349609375
1722787043.683855,"(1680.0, 1050.0)",2.7909393310546875
1722787043.7009459,"(1680.0, 1050.0)",2.8652496337890625
1722787043.7168818,"(1680.0, 1050.0)",2.8255691528320312
1722787043.734023,"(1680.0, 1050.0)",2.790283203125
1722787043.7502475,"(1680.0, 1032.0)",2.8801422119140625
1722787045.3813446,"(1574.0, 963.0)",2.8016204833984375
1722787045.3975084,"(1680.0, 1050.0)",2.9146270751953125
1722787045.413596,"(1680.0, 1050.0)",2.8923797607421875
1722787045.4304504,"(1680.0, 1050.0)",2.91485595703125
1722787045.4479835,"(1680.0, 1050.0)",2.8888092041015625
1722787045.464043,"(1680.0, 1050.0)",2.8750991821289062
