Unix Timestamp: 1724326602.6159155, n press
Unix Timestamp: 1724326602.6800466, n release
Unix Timestamp: 1724326602.8244295, i press
Unix Timestamp: 1724326602.872391, i release
Unix Timestamp: 1724326603.0656967, v press
Unix Timestamp: 1724326603.112077, v release
Unix Timestamp: 1724326603.2087448, e press
Unix Timestamp: 1724326603.3207574, r press
Unix Timestamp: 1724326603.4000914, e release
Unix Timestamp: 1724326603.4645667, r release
Unix Timestamp: 1724326604.2644398, s press
Unix Timestamp: 1724326604.3287733, i press
Unix Timestamp: 1724326604.3767602, s release
Unix Timestamp: 1724326604.408686, i release
Unix Timestamp: 1724326604.665231, t press
Unix Timestamp: 1724326604.7289732, t release
Unix Timestamp: 1724326605.0805714, z press
Unix Timestamp: 1724326605.2405686, z release
Unix Timestamp: 1724326606.0086532, Key.backspace press
Unix Timestamp: 1724326606.0880191, Key.backspace release
Unix Timestamp: 1724326606.4401226, y press
Unix Timestamp: 1724326606.4879003, y release
Unix Timestamp: 1724326606.7284307, Key.space press
Unix Timestamp: 1724326606.7600827, Key.space release
Unix Timestamp: 1724326607.8480356, i press
Unix Timestamp: 1724326607.927733, i release
Unix Timestamp: 1724326608.4243095, n press
Unix Timestamp: 1724326608.4728706, n release
Unix Timestamp: 1724326608.6646092, v press
Unix Timestamp: 1724326608.7128363, v release
Unix Timestamp: 1724326609.0326366, i press
Unix Timestamp: 1724326609.0803254, i release
Unix Timestamp: 1724326609.2725322, t press
Unix Timestamp: 1724326609.352617, t release
Unix Timestamp: 1724326609.3684325, e press
Unix Timestamp: 1724326609.4481175, e release
Unix Timestamp: 1724326609.560231, s press
Unix Timestamp: 1724326609.6403613, Key.space press
Unix Timestamp: 1724326609.7047236, Key.space release
Unix Timestamp: 1724326609.7053678, s release
Unix Timestamp: 1724326610.1848707, m press
Unix Timestamp: 1724326610.2324584, m release
Unix Timestamp: 1724326610.3919444, e press
Unix Timestamp: 1724326610.520561, e release
Unix Timestamp: 1724326610.5215573, Key.space press
Unix Timestamp: 1724326610.5684452, Key.space release
Unix Timestamp: 1724326611.0807455, t press
Unix Timestamp: 1724326611.1602683, o press
Unix Timestamp: 1724326611.192026, t release
Unix Timestamp: 1724326611.208071, o release
Unix Timestamp: 1724326611.3849792, Key.space press
Unix Timestamp: 1724326611.4322531, Key.space release
Unix Timestamp: 1724326611.4806814, t press
Unix Timestamp: 1724326611.5931215, t release
Unix Timestamp: 1724326612.23273, a press
Unix Timestamp: 1724326612.328796, a release
Unix Timestamp: 1724326612.328796, k press
Unix Timestamp: 1724326612.3922124, k release
Unix Timestamp: 1724326612.520322, e press
