Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724318084, 103, 90.0, 22.07
1724318085, 103, 90.0, 22.06
1724318086, 102, 90.0, 22.06
1724318087, 102, 90.0, 22.06
1724318088, 101, 90.0, 22.06
1724318089, 100, 90.0, 21.98
1724318090, 100, 90.0, 21.98
1724318091, 101, 90.0, 21.86
1724318092, 101, 90.0, 21.86
1724318093, 103, 90.0, 21.86
1724318094, 104, 90.0, 21.88
1724318095, 105, 90.0, 21.88
1724318096, 105, 89.0, 21.99
1724318097, 105, 89.0, 21.99
1724318098, 106, 89.0, 21.99
1724318099, 106, 89.0, 21.99
1724318100, 106, 89.0, 21.99
1724318101, 106, 89.0, 21.99
1724318102, 105, 89.0, 21.99
1724318103, 106, 89.0, 21.93
1724318104, 106, 89.0, 21.93
1724318105, 107, 89.0, 21.93
1724318106, 108, 88.0, 21.93
1724318107, 108, 88.0, 21.76
1724318108, 109, 88.0, 21.76
1724318109, 110, 88.0, 21.76
1724318110, 110, 88.0, 21.78
1724318111, 110, 88.0, 21.78
1724318112, 109, 88.0, 21.78
1724318113, 108, 88.0, 21.78
1724318114, 108, 88.0, 21.78
1724318115, 108, 88.0, 21.78
1724318116, 109, 90.0, 21.66
1724318117, 110, 90.0, 21.66
1724318118, 110, 90.0, 21.68
1724318119, 110, 90.0, 21.68
1724318120, 109, 90.0, 21.68
1724318121, 108, 90.0, 21.68
1724318122, 108, 90.0, 21.65
1724318123, 107, 90.0, 21.65
1724318124, 107, 90.0, 21.65
1724318125, 107, 90.0, 21.65
1724318126, 107, 91.0, 21.65
1724318127, 107, 91.0, 21.65
1724318128, 107, 91.0, 21.65
1724318129, 106, 91.0, 21.65
1724318130, 106, 91.0, 21.65
1724318131, 106, 91.0, 21.65
1724318132, 106, 91.0, 21.5
1724318133, 105, 91.0, 21.5
1724318134, 105, 91.0, 21.5
1724318135, 105, 91.0, 21.5
1724318136, 105, 92.0, 21.5
1724318137, 104, 92.0, 21.5
1724318138, 104, 92.0, 21.5
1724318139, 104, 92.0, 21.5
1724318140, 104, 92.0, 21.5
1724318141, 104, 91.0, 21.5
1724318142, 104, 91.0, 21.5
1724318143, 103, 91.0, 21.31
1724318144, 103, 91.0, 21.31
1724318145, 104, 91.0, 21.31
1724318146, 105, 90.0, 21.31
1724318147, 106, 90.0, 21.31
1724318148, 106, 90.0, 21.31
1724318149, 106, 90.0, 21.31
